iter	Passed	Remaining
1150	10324	79375
1151	10332	79362
1152	10341	79349
1153	10349	79337
1154	10358	79324
1155	10367	79314
1156	10375	79299
1157	10382	79279
1158	10390	79263
1159	10398	79244
1160	10406	79230
1161	10414	79212
1162	10422	79195
1163	10430	79176
1164	10437	79157
1165	10445	79139
1166	10454	79128
1167	10462	79115
1168	10471	79101
1169	10478	79083
1170	10486	79067
1171	10494	79047
1172	10503	79036
1173	10512	79028
1174	10521	79022
1175	10531	79018
1176	10541	79019
1177	10551	79017
1178	10562	79024
1179	10571	79017
1180	10580	79009
1181	10590	79007
1182	10599	78998
1183	10608	78992
1184	10618	78990
1185	10628	78984
1186	10637	78977
1187	10647	78974
1188	10656	78969
1189	10666	78965
1190	10675	78957
1191	10684	78952
1192	10693	78942
1193	10702	78931
1194	10710	78916
1195	10719	78906
1196	10727	78889
1197	10736	78883
1198	10744	78868
1199	10753	78857
1200	10761	78845
1201	10771	78842
1202	10782	78850
1203	10791	78836
1204	10799	78822
1205	10807	78804
1206	10817	78803
1207	10826	78797
1208	10835	78786
1209	10843	78775
1210	10852	78762
1211	10861	78756
1212	10870	78747
1213	10878	78731
1214	10886	78716
1215	10894	78700
1216	10902	78683
1217	10910	78667
1218	10919	78655
1219	10926	78638
1220	10935	78626
1221	10943	78612
1222	10952	78603
1223	10961	78595
1224	10970	78582
1225	10978	78571
1226	10986	78556
1227	10996	78549
1228	11005	78541
1229	11014	78535
1230	11023	78524
1231	11032	78515
1232	11040	78503
1233	11049	78495
1234	11059	78489
1235	11070	78499
1236	11079	78487
1237	11088	78475
1238	11096	78465
1239	11105	78454
1240	11112	78435
1241	11120	78419
1242	11129	78411
1243	11138	78397
1244	11146	78381
1245	11153	78363
1246	11162	78350
1247	11170	78334
1248	11178	78320
1249	11185	78300
1250	11193	78283
1251	11201	78267
1252	11209	78252
1253	11217	78236
1254	11225	78222
1255	11233	78207
1256	11242	78193
1257	11249	78174
1258	11257	78159
1259	11265	78144
1260	11274	78131
1261	11281	78114
1262	11290	78104
1263	11298	78090
1264	11307	78078
1265	11315	78063
1266	11324	78056
1267	11332	78042
1268	11341	78031
1269	11349	78014
1270	11357	78000
1271	11365	77987
1272	11373	77972
1273	11381	77958
1274	11390	77944
1275	11397	77927
1276	11406	77913
1277	11414	77903
1278	11423	77889
1279	11431	77874
1280	11440	77867
1281	11448	77852
1282	11456	77838
1283	11464	77820
1284	11472	77805
1285	11479	77787
1286	11487	77773
1287	11495	77756
1288	11504	77746
1289	11513	77737
1290	11523	77736
1291	11532	77728
1292	11541	77721
1293	11550	77714
1294	11560	77706
1295	11568	77695
1296	11577	77687
1297	11587	77683
1298	11596	77677
1299	11605	77670
1300	11614	77658
1301	11624	77659
1302	11632	77645
1303	11641	77633
1304	11650	77622
1305	11658	77608
1306	11666	77596
1307	11675	77588
1308	11685	77581
1309	11694	77574
1310	11703	77570
1311	11712	77557
1312	11721	77548
1313	11729	77535
1314	11737	77523
1315	11746	77510
1316	11754	77496
1317	11762	77483
1318	11770	77467
1319	11778	77451
1320	11786	77438
1321	11795	77427
1322	11803	77417
1323	11811	77401
1324	11820	77392
1325	11829	77380
1326	11837	77369
1327	11845	77354
1328	11854	77342
1329	11862	77330
1330	11871	77317
1331	11879	77305
1332	11888	77297
1333	11897	77287
1334	11905	77274
1335	11914	77264
1336	11923	77254
1337	11932	77247
1338	11941	77242
1339	11950	77229
1340	11958	77219
1341	11967	77207
1342	11975	77196
1343	11984	77185
1344	11992	77174
1345	12000	77158
1346	12009	77147
1347	12017	77132
1348	12026	77124
1349	12034	77109
1350	12041	77089
1351	12049	77072
1352	12056	77054
1353	12064	77039
1354	12072	77023
1355	12080	77009
1356	12088	76992
1357	12096	76978
1358	12104	76962
1359	12112	76947
1360	12120	76937
1361	12129	76927
1362	12137	76913
1363	12145	76896
1364	12153	76883
1365	12162	76873
1366	12170	76862
1367	12179	76850
1368	12187	76835
1369	12195	76823
1370	12203	76807
1371	12211	76794
1372	12220	76787
1373	12231	76786
1374	12239	76773
1375	12248	76767
1376	12257	76756
1377	12265	76742
1378	12273	76730
1379	12281	76715
1380	12289	76702
1381	12298	76690
1382	12306	76675
1383	12314	76662
1384	12322	76647
1385	12332	76648
1386	12340	76633
1387	12348	76619
1388	12357	76608
1389	12365	76595
1390	12373	76581
1391	12381	76568
1392	12389	76553
1393	12397	76537
1394	12405	76523
1395	12413	76510
1396	12422	76503
1397	12430	76488
1398	12440	76482
1399	12450	76483
1400	12460	76480
1401	12471	76483
1402	12485	76505
1403	12494	76497
1404	12503	76492
1405	12513	76489
1406	12522	76481
1407	12531	76470
1408	12540	76461
1409	12549	76454
1410	12558	76447
1411	12568	76443
1412	12577	76432
1413	12585	76420
1414	12594	76413
1415	12603	76405
1416	12614	76407
1417	12623	76400
1418	12631	76387
1419	12640	76376
1420	12649	76368
1421	12657	76357
1422	12667	76350
1423	12675	76335
1424	12685	76334
1425	12693	76321
1426	12703	76318
1427	12711	76305
1428	12720	76297
1429	12730	76291
1430	12739	76285
1431	12747	76272
1432	12756	76265
1433	12766	76258
1434	12775	76253
1435	12784	76246
